,mc,mn,quarterbeats,quarterbeats_all_endings,duration_qb,mc_onset,mn_onset,timesig,staff,voice,duration,nominal_duration,scalar,tied,tpc,midi,name,octave,chord_id,time,player,capped
94,5,5,19,19,0.25,3/4,3/4,4/4,1,1,1/16,1/16,1,,2,62,D4,4,58,0.0,2,False
95,5,5,77/4,77/4,0.75,13/16,13/16,4/4,1,1,3/16,1/8,3/2,,5,59,B3,3,59,0.0,7,False
96,6,6,20,20,0.75,0,0,4/4,2,1,3/16,1/8,3/2,,4,40,E2,2,75,0.0,8,False
97,6,6,20,20,0.75,0,0,4/4,2,1,3/16,1/8,3/2,,0,48,C3,3,75,0.0,3,False
98,6,6,41/2,41/2,0.25,1/8,1/8,4/4,1,1,1/16,1/16,1,,1,79,G5,5,64,0.0,8,False
99,6,6,83/4,83/4,0.25,3/16,3/16,4/4,2,1,1/16,1/16,1,1,0,48,C3,3,76,0.0,3,False
100,6,6,83/4,83/4,0.25,3/16,3/16,4/4,2,1,1/16,1/16,1,1,1,55,G3,3,76,0.0,4,False
101,6,6,83/4,83/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,,6,78,F#5,5,65,0.0,4,False
102,6,6,21,21,0.5,1/4,1/4,4/4,2,1,1/8,1/8,1,-1,0,48,C3,3,77,0.0,3,False
103,6,6,21,21,0.5,1/4,1/4,4/4,2,1,1/8,1/8,1,-1,1,55,G3,3,77,0.0,4,False
104,6,6,21,21,0.25,1/4,1/4,4/4,1,1,1/16,1/16,1,,-1,77,F5,5,66,0.0,1,False
105,6,6,85/4,85/4,0.5,5/16,5/16,4/4,1,1,1/8,1/8,1,,9,75,D#5,5,67,0.0,3,False
106,6,6,43/2,43/2,0.5,3/8,3/8,4/4,2,1,1/8,1/8,1,,4,52,E3,3,78,0.0,8,False
107,6,6,43/2,43/2,0.5,3/8,3/8,4/4,2,1,1/8,1/8,1,,0,60,C4,4,78,0.0,0,False
108,6,6,87/4,87/4,0.25,7/16,7/16,4/4,1,1,1/16,1/16,1,,4,76,E5,5,68,0.0,8,False
109,6,6,22,22,0.75,1/2,1/2,4/4,2,1,3/16,1/8,3/2,,3,45,A2,2,79,0.0,2,False
110,6,6,22,22,0.75,1/2,1/2,4/4,2,1,3/16,1/8,3/2,,-1,53,F3,3,79,0.0,3,False
111,6,6,89/4,89/4,0.25,9/16,9/16,4/4,1,1,1/16,1/16,1,,1,67,G4,4,69,0.0,3,False
112,6,6,45/2,45/2,0.25,5/8,5/8,4/4,1,1,1/16,1/16,1,,3,69,A4,4,70,0.0,3,False
113,6,6,91/4,91/4,0.25,11/16,11/16,4/4,2,1,1/16,1/16,1,,4,52,E3,3,80,0.0,8,False
114,6,6,91/4,91/4,0.25,11/16,11/16,4/4,2,1,1/16,1/16,1,,0,60,C4,4,80,0.0,0,False
115,6,6,91/4,91/4,0.25,11/16,11/16,4/4,1,1,1/16,1/16,1,,0,72,C5,5,71,0.0,2,False
116,6,6,23,23,0.25,3/4,3/4,4/4,2,1,1/16,1/16,1,,4,52,E3,3,81,0.0,8,False
117,6,6,23,23,0.25,3/4,3/4,4/4,2,1,1/16,1/16,1,,0,60,C4,4,81,0.0,0,False
118,6,6,93/4,93/4,0.25,13/16,13/16,4/4,2,1,1/16,1/16,1,,4,52,E3,3,82,0.0,8,False
119,6,6,93/4,93/4,0.25,13/16,13/16,4/4,2,1,1/16,1/16,1,,0,60,C4,4,82,0.0,0,False
120,6,6,93/4,93/4,0.25,13/16,13/16,4/4,1,1,1/16,1/16,1,,3,69,A4,4,72,0.0,3,False
121,6,6,47/2,47/2,0.5,7/8,7/8,4/4,2,1,1/8,1/8,1,,3,45,A2,2,83,0.0,2,False
122,6,6,47/2,47/2,0.5,7/8,7/8,4/4,2,1,1/8,1/8,1,,-1,53,F3,3,83,0.0,3,False
123,6,6,47/2,47/2,0.25,7/8,7/8,4/4,1,1,1/16,1/16,1,,0,72,C5,5,73,0.0,2,False
124,6,6,95/4,95/4,0.25,15/16,15/16,4/4,1,1,1/16,1/16,1,,2,74,D5,5,74,0.0,3,False
125,7,7,24,24,0.75,0,0,4/4,2,1,3/16,1/8,3/2,,4,40,E2,2,92,0.0,8,False
126,7,7,24,24,0.75,0,0,4/4,2,1,3/16,1/8,3/2,,0,48,C3,3,92,0.0,3,False
127,7,7,49/2,49/2,0.25,1/8,1/8,4/4,1,1,1/16,1/16,1,,1,79,G5,5,84,0.0,8,False
128,7,7,99/4,99/4,0.25,3/16,3/16,4/4,2,1,1/16,1/16,1,1,1,43,G2,2,93,0.0,7,False
129,7,7,99/4,99/4,0.25,3/16,3/16,4/4,2,1,1/16,1/16,1,1,4,52,E3,3,93,0.0,8,False
130,7,7,99/4,99/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,,6,78,F#5,5,85,0.0,4,False
131,7,7,25,25,0.5,1/4,1/4,4/4,2,1,1/8,1/8,1,-1,1,43,G2,2,94,0.0,7,False
132,7,7,25,25,0.5,1/4,1/4,4/4,2,1,1/8,1/8,1,-1,4,52,E3,3,94,0.0,8,False
133,7,7,25,25,0.25,1/4,1/4,4/4,1,1,1/16,1/16,1,,-1,77,F5,5,86,0.0,1,False
134,7,7,101/4,101/4,0.5,5/16,5/16,4/4,1,1,1/8,1/8,1,,9,75,D#5,5,87,0.0,3,False
135,7,7,51/2,51/2,0.25,3/8,3/8,4/4,2,1,1/16,1/16,1,,0,48,C3,3,95,0.0,3,False
136,7,7,51/2,51/2,0.25,3/8,3/8,4/4,2,1,1/16,1/16,1,,1,55,G3,3,95,0.0,4,False
137,7,7,103/4,103/4,0.25,7/16,7/16,4/4,2,1,1/16,1/16,1,,4,52,E3,3,96,0.0,8,False
138,7,7,103/4,103/4,0.25,7/16,7/16,4/4,2,1,1/16,1/16,1,,0,60,C4,4,96,0.0,0,False
139,7,7,103/4,103/4,0.25,7/16,7/16,4/4,1,1,1/16,1/16,1,,4,76,E5,5,88,0.0,8,False
140,7,7,105/4,105/4,0.5,9/16,9/16,4/4,1,1,1/8,1/8,1,,0,72,C5,5,89,0.0,2,False
141,7,7,107/4,107/4,0.25,11/16,11/16,4/4,1,1,1/16,1/16,1,,0,72,C5,5,90,0.0,2,False
142,7,7,27,27,1.0,3/4,3/4,4/4,1,1,1/4,1/4,1,,0,72,C5,5,91,0.0,2,False
143,7,7,55/2,55/2,0.5,7/8,7/8,4/4,2,1,1/8,1/8,1,,5,47,B2,2,97,0.0,3,False
144,7,7,55/2,55/2,0.5,7/8,7/8,4/4,2,1,1/8,1/8,1,,1,55,G3,3,97,0.0,4,False
145,8,8,28,28,0.75,0,0,4/4,2,1,3/16,1/8,3/2,,4,40,E2,2,109,0.0,8,False
146,8,8,28,28,0.75,0,0,4/4,2,1,3/16,1/8,3/2,,0,48,C3,3,109,0.0,3,False
147,8,8,57/2,57/2,0.25,1/8,1/8,4/4,1,1,1/16,1/16,1,,1,79,G5,5,98,0.0,8,False
148,8,8,115/4,115/4,0.25,3/16,3/16,4/4,2,1,1/16,1/16,1,1,0,48,C3,3,110,0.0,3,False
149,8,8,115/4,115/4,0.25,3/16,3/16,4/4,2,1,1/16,1/16,1,1,1,55,G3,3,110,0.0,4,False
150,8,8,115/4,115/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,,6,78,F#5,5,99,0.0,4,False
151,8,8,29,29,0.5,1/4,1/4,4/4,2,1,1/8,1/8,1,-1,0,48,C3,3,111,0.0,3,False
152,8,8,29,29,0.5,1/4,1/4,4/4,2,1,1/8,1/8,1,-1,1,55,G3,3,111,0.0,4,False
153,8,8,29,29,0.25,1/4,1/4,4/4,1,1,1/16,1/16,1,,-1,77,F5,5,100,0.0,1,False
154,8,8,117/4,117/4,0.5,5/16,5/16,4/4,1,1,1/8,1/8,1,,9,75,D#5,5,101,0.0,3,False
155,8,8,59/2,59/2,0.5,3/8,3/8,4/4,2,1,1/8,1/8,1,,4,52,E3,3,112,0.0,8,False
156,8,8,59/2,59/2,0.5,3/8,3/8,4/4,2,1,1/8,1/8,1,,0,60,C4,4,112,0.0,0,False
157,8,8,119/4,119/4,0.25,7/16,7/16,4/4,1,1,1/16,1/16,1,,4,76,E5,5,102,0.0,8,False
158,8,8,30,30,0.75,1/2,1/2,4/4,2,1,3/16,1/8,3/2,,3,45,A2,2,113,0.0,2,False
159,8,8,30,30,0.75,1/2,1/2,4/4,2,1,3/16,1/8,3/2,,-1,53,F3,3,113,0.0,3,False
160,8,8,121/4,121/4,0.25,9/16,9/16,4/4,1,1,1/16,1/16,1,,1,67,G4,4,103,0.0,3,False
161,8,8,61/2,61/2,0.25,5/8,5/8,4/4,1,1,1/16,1/16,1,,3,69,A4,4,104,0.0,3,False
162,8,8,123/4,123/4,0.25,11/16,11/16,4/4,2,1,1/16,1/16,1,,4,52,E3,3,114,0.0,8,False
163,8,8,123/4,123/4,0.25,11/16,11/16,4/4,2,1,1/16,1/16,1,,0,60,C4,4,114,0.0,0,False
164,8,8,123/4,123/4,0.25,11/16,11/16,4/4,1,1,1/16,1/16,1,,0,72,C5,5,105,0.0,2,False
165,8,8,31,31,0.25,3/4,3/4,4/4,2,1,1/16,1/16,1,,4,52,E3,3,115,0.0,8,False
166,8,8,31,31,0.25,3/4,3/4,4/4,2,1,1/16,1/16,1,,0,60,C4,4,115,0.0,0,False
167,8,8,125/4,125/4,0.25,13/16,13/16,4/4,2,1,1/16,1/16,1,,4,52,E3,3,116,0.0,8,False
168,8,8,125/4,125/4,0.25,13/16,13/16,4/4,2,1,1/16,1/16,1,,0,60,C4,4,116,0.0,0,False
169,8,8,125/4,125/4,0.25,13/16,13/16,4/4,1,1,1/16,1/16,1,,3,69,A4,4,106,0.0,3,False
170,8,8,63/2,63/2,0.5,7/8,7/8,4/4,2,1,1/8,1/8,1,,3,45,A2,2,117,0.0,2,False
171,8,8,63/2,63/2,0.5,7/8,7/8,4/4,2,1,1/8,1/8,1,,-1,53,F3,3,117,0.0,3,False
172,8,8,63/2,63/2,0.25,7/8,7/8,4/4,1,1,1/16,1/16,1,,0,72,C5,5,107,0.0,2,False
173,8,8,127/4,127/4,0.25,15/16,15/16,4/4,1,1,1/16,1/16,1,,2,74,D5,5,108,0.0,3,False
174,9,9,32,32,0.5,0,0,4/4,2,1,1/8,1/8,1,,4,40,E2,2,122,0.0,8,False
175,9,9,32,32,0.5,0,0,4/4,2,1,1/8,1/8,1,,0,48,C3,3,122,0.0,3,False
176,9,9,65/2,65/2,0.5,1/8,1/8,4/4,2,1,1/8,1/8,1,1,8,44,G#2,2,123,0.0,7,False
177,9,9,65/2,65/2,0.5,1/8,1/8,4/4,2,1,1/8,1/8,1,1,9,51,D#3,3,123,0.0,3,False
178,9,9,65/2,65/2,0.5,1/8,1/8,4/4,1,1,1/8,1/8,1,1,0,72,C5,5,118,0.0,2,False
179,9,9,65/2,65/2,0.5,1/8,1/8,4/4,1,1,1/8,1/8,1,1,9,75,D#5,5,118,0.0,3,False
180,9,9,33,33,0.25,1/4,1/4,4/4,2,1,1/16,1/16,1,-1,8,44,G#2,2,124,0.0,7,False
181,9,9,33,33,0.25,1/4,1/4,4/4,2,1,1/16,1/16,1,-1,9,51,D#3,3,124,0.0,3,False
182,9,9,33,33,0.25,1/4,1/4,4/4,1,1,1/16,1/16,1,-1,0,72,C5,5,119,0.0,2,False
183,9,9,33,33,0.25,1/4,1/4,4/4,1,1,1/16,1/16,1,-1,9,75,D#5,5,119,0.0,3,False
184,9,9,133/4,133/4,0.75,5/16,5/16,4/4,2,1,3/16,1/8,3/2,,-1,41,F2,2,125,0.0,0,False
185,9,9,133/4,133/4,0.75,5/16,5/16,4/4,2,1,3/16,1/8,3/2,,2,50,D3,3,125,0.0,3,False
186,9,9,133/4,133/4,0.75,5/16,5/16,4/4,1,1,3/16,1/8,3/2,,10,70,A#4,4,120,0.0,5,False
187,9,9,133/4,133/4,0.75,5/16,5/16,4/4,1,1,3/16,1/8,3/2,,2,74,D5,5,120,0.0,3,False
188,9,9,34,34,0.75,1/2,1/2,4/4,2,1,3/16,1/8,3/2,,4,40,E2,2,126,0.0,8,False
189,9,9,34,34,0.75,1/2,1/2,4/4,2,1,3/16,1/8,3/2,,0,48,C3,3,126,0.0,3,False
190,9,9,34,34,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1,,1,67,G4,4,121,0.0,3,False
191,9,9,34,34,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1,,0,72,C5,5,121,0.0,2,False
192,9,9,139/4,139/4,0.25,11/16,11/16,4/4,2,1,1/16,1/16,1,,4,52,E3,3,127,0.0,8,False
193,9,9,139/4,139/4,0.25,11/16,11/16,4/4,2,1,1/16,1/16,1,,1,55,G3,3,127,0.0,4,False
194,9,9,35,35,0.5,3/4,3/4,4/4,2,1,1/8,1/8,1,,4,52,E3,3,128,0.0,8,False
195,9,9,35,35,0.5,3/4,3/4,4/4,2,1,1/8,1/8,1,,1,55,G3,3,128,0.0,4,False
196,9,9,71/2,71/2,0.5,7/8,7/8,4/4,2,1,1/8,1/8,1,,1,43,G2,2,129,0.0,7,False
197,9,9,71/2,71/2,0.5,7/8,7/8,4/4,2,1,1/8,1/8,1,,0,48,C3,3,129,0.0,3,False
198,10,10,36,36,0.75,0,0,4/4,2,1,3/16,1/8,3/2,,4,40,E2,2,141,0.0,8,False
199,10,10,36,36,0.75,0,0,4/4,2,1,3/16,1/8,3/2,,0,48,C3,3,141,0.0,3,False
200,10,10,73/2,73/2,0.25,1/8,1/8,4/4,1,1,1/16,1/16,1,,1,79,G5,5,130,0.0,8,False
201,10,10,147/4,147/4,0.25,3/16,3/16,4/4,2,1,1/16,1/16,1,1,0,48,C3,3,142,0.0,3,False
202,10,10,147/4,147/4,0.25,3/16,3/16,4/4,2,1,1/16,1/16,1,1,1,55,G3,3,142,0.0,4,False
203,10,10,147/4,147/4,0.25,3/16,3/16,4/4,1,1,1/16,1/16,1,,6,78,F#5,5,131,0.0,4,False
204,10,10,37,37,0.5,1/4,1/4,4/4,2,1,1/8,1/8,1,-1,0,48,C3,3,143,0.0,3,False
205,10,10,37,37,0.5,1/4,1/4,4/4,2,1,1/8,1/8,1,-1,1,55,G3,3,143,0.0,4,False
206,10,10,37,37,0.25,1/4,1/4,4/4,1,1,1/16,1/16,1,,-1,77,F5,5,132,0.0,1,False
207,10,10,149/4,149/4,0.5,5/16,5/16,4/4,1,1,1/8,1/8,1,,9,75,D#5,5,133,0.0,3,False
208,10,10,75/2,75/2,0.5,3/8,3/8,4/4,2,1,1/8,1/8,1,,4,52,E3,3,144,0.0,8,False
209,10,10,75/2,75/2,0.5,3/8,3/8,4/4,2,1,1/8,1/8,1,,0,60,C4,4,144,0.0,0,False
210,10,10,151/4,151/4,0.25,7/16,7/16,4/4,1,1,1/16,1/16,1,,4,76,E5,5,134,0.0,8,False
211,10,10,38,38,0.75,1/2,1/2,4/4,2,1,3/16,1/8,3/2,,3,45,A2,2,145,0.0,2,False
212,10,10,38,38,0.75,1/2,1/2,4/4,2,1,3/16,1/8,3/2,,-1,53,F3,3,145,0.0,3,False
213,10,10,153/4,153/4,0.25,9/16,9/16,4/4,1,1,1/16,1/16,1,,1,67,G4,4,135,0.0,3,False
214,10,10,77/2,77/2,0.25,5/8,5/8,4/4,1,1,1/16,1/16,1,,3,69,A4,4,136,0.0,3,False
215,10,10,155/4,155/4,0.25,11/16,11/16,4/4,2,1,1/16,1/16,1,,4,52,E3,3,146,0.0,8,False
216,10,10,155/4,155/4,0.25,11/16,11/16,4/4,2,1,1/16,1/16,1,,0,60,C4,4,146,0.0,0,False
217,10,10,155/4,155/4,0.25,11/16,11/16,4/4,1,1,1/16,1/16,1,,0,72,C5,5,137,0.0,2,False
218,10,10,39,39,0.25,3/4,3/4,4/4,2,1,1/16,1/16,1,,4,52,E3,3,147,0.0,8,False
